rank,title,imdb_rating,release_year
1,The Shawshank Redemption,9.2,1994
2,The Godfather,9.1,1972
3,The Godfather: Part II,9,1974
4,The Dark Knight,9,2008
5,12 Angry Men,8.9,1957
6,Schindler’s List,8.9,1993
7,The Lord of the Rings: The Return of the King,8.9,2003
8,Pulp Fiction,8.8,1994
9,"The Good, the Bad and the Ugly",8.8,1966
10,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
11,Fight Club,8.8,1999
12,Forest Gump,8.7,1994
13,Inception,8.7,2010
14,The Lord of the Rings: The Two Towers,8.7,2002
15,Star Wars: Episode V – The Empire Strikes Back,8.7,1980
16,The Matrix,8.6,1999
17,Goodfellas,8.6,1990
18,One Flew Over The Cuckoo’s Nest,8.6,1975
19,Seven Samurai,8.6,1954
20,Seven,8.6,1995
